Star        a_l*1E3 a_2*1E3 a_3*1E3  gam_1  gam_2  gam_3   x_10   x_20    x_03     b_0      b_1      b_2      b_3     b_4
HD 27778      6.604   1.408   3.910  0.300  0.152  0.224  1.622   2.072  2.269   6.868  -11.660   -25.22    61.91  -34.78 
HD 28475      6.932   4.308   1.314  0.300  0.178  0.127  1.570   2.061  2.286   3.113    9.944   -69.94   100.94  -46.48 
HD 29647      2.711   0.249   0.656  0.300  0.100  0.142  1.628   2.093  2.314   8.650  -26.976    24.81    -7.42   -1.38 
HD 30122     10.780   3.551  12.304  0.300  0.169  0.300  1.578   2.072  2.289   2.382   14.025   -80.90   115.65  -53.95 
HD 30675      9.493   0.307  11.180  0.300  0.092  0.288  1.625   2.079  2.302   3.324    8.898   -69.30   102.72  -48.55 
HD 37061      0.078   0.060   0.046  0.055  0.035  0.049  1.545   2.050  2.307   2.027   14.550   -67.60    79.85  -31.44 
HD 38087      0.468  13.017   0.331  0.101  0.300  0.085  1.565   2.005  2.281   1.108   24.079  -103.18   133.32  -59.14 
HD 40893      6.185   3.415  14.550  0.255  0.160  0.300  1.593   2.053  2.294   4.220    2.928   -56.07    91.87  -45.83 
HD 46106      1.137   5.244   5.596  0.132  0.200  0.229  1.566   2.051  2.291   5.836   -9.891   -15.82    36.12  -18.25 
HD 46660      3.057   2.170   8.377  0.237  0.146  0.275  1.585   2.054  2.304   5.574   -7.491   -24.70    50.10  -25.77 
HD 54439      5.813   1.690  10.966  0.288  0.119  0.300  1.594   2.062  2.308   6.653  -14.203    -8.62    32.39  -17.83 
HD 62542      5.204   0.590   2.162  0.300  0.116  0.253  1.679   2.057  2.280   7.013  -10.167   -32.61    72.73  -40.38 
HD 68633      0.569   4.630   0.607  0.118  0.280  0.115  1.555   2.014  2.301   2.569   13.145   -72.42    95.08  -41.13 
HD 70614      1.230   8.159   1.201  0.137  0.237  0.150  1.562   2.034  2.287   1.234   22.737  -100.07   130.06  -56.67 
HD 91983      2.929   0.521  10.431  0.248  0.076  0.300  1.642   2.080  2.281   8.462  -29.313    34.65   -18.37    2.68 
HD 92044      3.434   2.221  11.762  0.251  0.163  0.300  1.597   2.069  2.292   6.796  -19.131    13.29    -1.04   -1.94 
HD 93028      0.344   1.130   1.966  0.087  0.108  0.146  1.562   2.055  2.283   5.166   -5.310   -27.06    50.10  -26.24 
HD 93222      0.002   0.842   4.427  0.004  0.108  0.222  1.593   2.061  2.308   5.784  -15.830    14.79   -11.55    4.42 
HD 104705     0.108   0.796   9.212  0.048  0.106  0.295  1.594   2.061  2.291   7.193  -20.913    14.61     2.62   -5.48 
HD 110336     4.603   0.476   2.660  0.264  0.111  0.182  1.580   2.092  2.294   6.592  -15.057    -2.17    20.12  -11.60 
HD 110946     8.130   4.056   6.718  0.300  0.188  0.300  1.567   2.057  2.267   4.475    1.332   -48.35    76.06  -35.86 
HD 112607     0.255   1.595   1.861  0.081  0.158  0.146  1.566   2.072  2.278   7.202  -18.444     3.87    17.13  -12.11 
HD 142096     0.488   0.189   0.015  0.085  0.045  0.010  1.550   2.055  2.295   4.060    3.030   -47.11    67.80  -30.44 
HD 142165     0.034   0.386   0.243  0.023  0.060  0.054  1.550   2.055  2.288  15.724  -78.050   159.93  -162.83   64.44 
HD 146285     0.146   7.655   0.214  0.070  0.283  0.067  1.561   2.033  2.285   7.644  -20.265     7.75    11.79   -9.42 
HD 147889     6.211   0.592  13.005  0.300  0.129  0.300  1.583   2.076  2.305   1.700   13.447   -63.59    78.67  -33.07 
HD 149452     0.332   6.188   7.209  0.093  0.239  0.277  1.575   2.034  2.308   3.698    5.096   -54.50    80.27  -37.41 
HD 164073     1.019   6.959   0.012  0.114  0.295  0.011  1.592   1.950  2.325   4.140    4.783   -55.61    80.46  -37.25 
HD 172140     3.504   0.706   8.434  0.226  0.087  0.231  1.577   2.058  2.303   4.687   -6.026   -16.04    26.81  -10.85 
HD 193322     0.378   6.065   1.764  0.099  0.230  0.154  1.563   2.038  2.294   5.682   -3.931   -42.85    78.98  -41.00 
HD 197512     3.506   7.942   6.571  0.207  0.224  0.253  1.562   2.064  2.276   5.575   -6.277   -31.69    62.14  -32.22 
HD 198781     0.193   1.661   8.966  0.077  0.140  0.300  1.553   2.050  2.274   6.670  -17.209     5.45    10.85   -7.69 
HD 199216     6.576  11.963  12.661  0.278  0.272  0.300  1.562   2.069  2.295   7.772  -22.748    12.65    10.66  -10.44 
HD 204827     3.547   1.745  10.317  0.300  0.183  0.300  1.591   2.079  2.307  10.211  -37.766    48.84   -28.48    5.28 
HD 210072     7.334   2.680   4.819  0.300  0.169  0.251  1.616   2.048  2.269  10.180  -33.033    27.93     1.99   -9.12 
HD 210121     0.088   0.452   1.629  0.059  0.108  0.164  1.546   2.079  2.286  14.630  -64.916   112.03   -94.18   30.96 
HD 217086     0.605   5.127  11.475  0.113  0.204  0.300  1.573   2.052  2.297   5.083   -4.333   -32.83    59.93  -30.56 
HD 220057     5.044   1.226   1.557  0.241  0.121  0.141  1.566   2.064  2.293   6.119   -9.277   -21.49    45.39  -22.93 
HD 228969     1.390  15.484   5.905  0.162  0.300  0.300  1.577   2.033  2.304   4.088    8.469   -78.76   123.01  -59.90 
HD 236960    10.749   5.502  13.059  0.300  0.206  0.300  1.591   2.058  2.293   4.703   -1.371   -41.20    69.07  -33.43 
HD 239693    10.237   3.043  10.555  0.300  0.174  0.299  1.569   2.064  2.294   3.735    5.603   -59.05    88.99  -41.61 
HD 239722     9.571   1.526  14.170  0.300  0.147  0.300  1.619   2.077  2.298   5.025   -1.483   -46.51    81.58  -41.37 
HD 239745     1.359   7.758  10.689  0.153  0.245  0.300  1.561   2.057  2.294   5.649   -8.412   -22.11    47.34  -24.92 
HD 282485     3.507   2.253   9.103  0.222  0.166  0.249  1.616   2.085  2.303   6.739  -15.299    -7.34    34.74  -21.25 
HD 294264     3.793   7.602   0.000  0.300  0.300  0.037  1.601   1.988  2.301  -2.079   43.484  -144.47   170.43  -71.59 
HD 303068    10.141   7.196   5.626  0.300  0.260  0.248  1.651   2.061  2.323   2.078   21.227  -107.95   152.48  -71.17 
NGC 2244 11   1.543   2.904  10.803  0.148  0.151  0.280  1.565   2.056  2.298   5.715  -10.921    -9.84    27.09  -13.89 
NGC 2244 23   8.349   2.255   5.931  0.300  0.156  0.247  1.594   2.058  2.292   2.755   13.427   -80.73   114.42  -52.42 
Trumpler 6    0.666   0.530   7.158  0.122  0.097  0.300  1.604   2.065  2.289   3.506    3.749   -43.21    59.35  -25.85 
Trumpler 27   1.215   1.883   5.946  0.181  0.167  0.300  1.599   2.068  2.309   4.253    0.112   -37.10    55.28  -25.08 
VSS VIII-10   7.541   6.278   3.586  0.300  0.300  0.300  1.678   1.960  2.194   6.582   -6.723   -40.22    77.67  -40.98 
